Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
City University of New York (CUNY) System,925,4222,46.7027027027027,71,1.0644703783783784,USA,Academic System
ETH Zurich,922,16050,83.4056399132321,73,2.600026464208243,SWITZERLAND,Academic
Cardiff University,914,7988,73.30415754923413,74,1.923874398249453,WALES,Academic
Ohio State University,912,7343,70.72368421052632,75,1.5068081140350877,USA,Academic
University of Texas Austin,911,7647,57.958287596048294,76,1.4488028540065863,USA,Academic
University of Exeter,905,14372,71.93370165745856,77,2.7831706077348066,ENGLAND,Academic
"Institute of Geographic Sciences & Natural Resources Research, CAS",904,12267,86.17256637168141,78,2.169737389380531,CHINA MAINLAND,Research Institute
Universidade de Sao Paulo,900,4888,56.333333333333336,79,1.0584795555555555,BRAZIL,Academic
The World Bank,898,5680,67.14922048997772,80,1.057197438752784,USA,Government
Vrije Universiteit Amsterdam,897,12366,82.38573021181716,81,2.169209364548495,NETHERLANDS,Academic
Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET),893,2782,43.225083986562154,82,0.4827987681970885,ARGENTINA,Government
University of Birmingham,891,7759,67.90123456790124,83,1.7430653198653199,ENGLAND,Academic
Autonomous University of Barcelona,884,11824,79.63800904977376,84,2.1186617647058825,SPAIN,Academic
University of Helsinki,876,7356,75.11415525114155,85,1.833139383561644,FINLAND,Academic
University of Cape Town,871,7120,72.90470723306545,86,1.6265963260619978,SOUTH AFRICA,Academic
Griffith University,859,7209,72.64260768335274,87,1.5299467986030268,AUSTRALIA,Academic
University of Minnesota System,859,8288,74.0395809080326,87,1.6800080325960423,USA,Academic System
University of Witwatersrand,854,3611,61.124121779859486,89,0.9524668618266979,SOUTH AFRICA,Academic
McGill University,852,9135,74.17840375586854,90,1.7617003521126762,CANADA,Academic
University of Illinois Urbana-Champaign,851,7276,74.61809635722679,91,1.5148742655699179,USA,Academic
University of Waterloo,851,7543,76.49823736780259,91,1.6973841363102236,CANADA,Academic
Stockholm University,845,13860,83.07692307692308,93,2.6145285207100595,SWEDEN,Academic
Ghent University,838,7780,80.5489260143198,94,1.5349776849642005,BELGIUM,Academic
