Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,Country or Region,Organization Type
Utah System of Higher Education,4889,33446,69.9734096952342,73,1.032214133769687,USA,Academic System
University of California San Diego,4847,61578,77.1611305962451,74,1.7227127501547348,USA,Academic
University of Florida,4780,41663,69.43514644351464,75,1.2164271966527196,USA,Academic
California State University System,4733,34388,69.0259877456159,76,1.0821424677794211,USA,Academic System
University of Colorado Anschutz Medical Campus,4722,50247,73.61287590004235,77,1.5043152477763662,USA,Academic
Erasmus University Rotterdam,4676,67300,76.34730538922156,78,2.0136780153977756,NETHERLANDS,Academic
Brown University,4641,49999,76.23357035121741,79,1.351413014436544,USA,Academic
Mayo Clinic,4625,46648,70.5945945945946,80,1.2873042594594595,USA,Health
Universite de Paris,4608,50297,75.45572916666666,81,1.5598418619791667,FRANCE,Academic
Vanderbilt University,4594,48778,76.2298650413583,82,1.6015522638223771,USA,Academic
Tehran University of Medical Sciences,4594,45125,76.94819329560296,82,1.171591858946452,IRAN,Academic
University of Alberta,4545,52047,77.53575357535753,84,1.3966274367436744,CANADA,Academic
University of Alabama Birmingham,4403,53075,72.58687258687259,85,1.4877485123779242,USA,Academic
Maastricht University,4393,43268,78.44297746414752,86,1.2306179831550195,NETHERLANDS,Academic
University of Montreal,4386,45341,73.34701322389421,87,1.3831155722754218,CANADA,Academic
University of Oslo,4377,57071,79.18665752798721,88,1.497770527758739,NORWAY,Academic
Utrecht University,4348,53487,81.60073597056117,89,1.6816678702851886,NETHERLANDS,Academic
Egyptian Knowledge Bank (EKB),4318,47156,77.48957850856878,90,1.3762179018063918,EGYPT,Government
University of Barcelona,4274,53851,76.88348151614413,91,1.510347800655124,SPAIN,Academic
University of Illinois Chicago,4254,30903,70.09873060648802,92,1.060388199341796,USA,Academic
Pennsylvania State University,4248,32137,71.53954802259888,93,1.095365207156309,USA,Academic
University of Utah,4239,30537,71.59707478178817,94,1.042182024062279,USA,Academic
Rutgers State University New Brunswick,4190,34115,68.54415274463007,95,1.148649832935561,USA,Academic
University of Illinois Chicago Hospital,4189,30463,70.13607066125567,96,1.0556140367629505,USA,Health
University of Calgary,4101,51814,77.542062911485,97,1.438853133382102,CANADA,Academic
Cornell University,4074,47383,76.1168384879725,98,1.4521884879725087,USA,Academic
University of Cape Town,4074,58521,79.60235640648011,98,1.8010861070201278,SOUTH AFRICA,Academic
University of Southern California,4036,35735,72.32408325074331,100,1.2977406838453915,USA,Academic
Washington University (WUSTL),3991,57369,73.66574793284892,101,1.7528663492858934,USA,Academic
University of Wisconsin Madison,3956,39326,74.77249747219413,102,1.3330452730030333,USA,Academic
Texas A&M University System,3909,34008,69.9667434126375,103,1.171734126375032,USA,Academic System
University of Witwatersrand,3885,49794,78.58429858429858,104,1.5714626769626772,SOUTH AFRICA,Academic
University of Groningen,3816,45651,75.23584905660378,105,1.4738139412997906,NETHERLANDS,Academic
National University of Singapore,3806,50774,80.97740409879138,106,1.9708997898055702,SINGAPORE,Academic
Ghent University,3799,48215,80.81073966833378,107,1.5207519347196632,BELGIUM,Academic
Deakin University,3797,41229,82.74953910982354,108,1.3029572030550436,AUSTRALIA,Academic
La Trobe University,3793,41709,80.0158186132349,109,1.4314537305562878,AUSTRALIA,Academic
University of Maryland Baltimore,3792,31947,67.58966244725738,110,1.1643738660337553,USA,Academic
Baylor College of Medicine,3781,38631,74.26606717799524,111,1.3265014017455699,USA,Academic
University of North Carolina School of Medicine,3772,37855,75.23860021208908,112,1.2356598621420998,USA,Academic
University of Cambridge,3725,59463,79.54362416107382,113,2.0528159731543627,ENGLAND,Academic
Aarhus University,3702,46592,78.957320367369,114,1.5656252296056188,DENMARK,Academic
Radboud University Nijmegen,3653,38332,80.83766767040788,115,1.3964495483164523,NETHERLANDS,Academic
Erasmus MC,3638,58405,77.29521715228147,116,2.1903092358438703,NETHERLANDS,Health
Icahn School of Medicine at Mount Sinai,3634,44493,69.97798569069896,117,1.5783434782608696,USA,Academic
University of Southern Denmark,3622,35287,75.26228602981779,118,1.3555084759801215,DENMARK,Academic
University of Basel,3559,47721,78.44900252880022,119,1.5607418937903905,SWITZERLAND,Academic
University of Edinburgh,3533,53539,77.58279082932353,120,1.8960533540900086,SCOTLAND,Academic
Texas A&M University College Station,3504,32323,70.8904109589041,121,1.2050504280821916,USA,Academic
University of Liverpool,3489,49773,79.16308397821726,122,1.7342979936944685,ENGLAND,Academic
University of Manchester,3474,33669,74.29476108232585,123,1.4093795624640186,ENGLAND,Academic
Indiana University Bloomington,3421,25040,68.4010523238819,124,1.2125599824612687,USA,Academic
Curtin University,3327,42208,80.6131650135257,125,1.525429966937181,AUSTRALIA,Academic
Case Western Reserve University,3305,40630,71.77004538577913,126,1.4530731921331317,USA,Academic
Griffith University,3291,35620,79.30720145852325,127,1.2541168337891218,AUSTRALIA,Academic
University of Bristol,3260,48101,79.01840490797547,128,1.8633133128834358,ENGLAND,Academic
University of California Davis,3229,34828,77.57819758439145,129,1.4427150201300714,USA,Academic
Feinberg School of Medicine,3224,34760,77.88461538461539,130,1.409224441687345,USA,Academic
Johns Hopkins Medicine,3211,29388,72.53192151977576,131,1.3874615073185923,USA,Health
University of Newcastle,3201,34981,80.2561699468916,132,1.2719594814120587,AUSTRALIA,Academic
KU Leuven,3158,35625,81.1906269791007,133,1.576002374920836,BELGIUM,Academic
Seoul National University (SNU),3151,38799,79.37162805458584,134,1.4474337035861633,SOUTH KOREA,Academic
University of Iowa,3081,30057,75.04057124310289,135,1.2334096721843557,USA,Academic
University of Milan,3071,41357,80.00651253663302,136,1.7081435363073918,ITALY,Academic
Oregon Health & Science University,3058,39348,73.44669718770437,137,1.5854109875735776,USA,Academic
University of Gothenburg,3028,38107,81.37384412153237,138,1.4489102377807135,SWEDEN,Academic
George Washington University,2999,33245,74.12470823607869,139,1.6102106035345116,USA,Academic
Mahidol University,2997,26331,74.24090757424091,140,1.1081501501501503,THAILAND,Academic
Ruprecht Karls University Heidelberg,2997,45353,76.97697697697697,140,1.9684647647647648,GERMANY (FED REP GER),Academic
University of Kentucky,2988,22760,70.61579651941098,142,0.9944277443105757,USA,Academic
Michigan State University,2987,23429,69.63508536993639,143,1.1137244392366923,USA,Academic
Western University (University of Western Ontario),2982,31242,77.23004694835682,144,1.3043940308517774,CANADA,Academic
University of Auckland,2979,40687,80.56394763343404,145,1.631044545149379,NEW ZEALAND,Academic
University of Otago,2963,37885,79.61525480931488,146,1.5041920013499832,NEW ZEALAND,Academic
University of South Carolina System,2953,23697,69.52251947172368,147,1.140408669150017,USA,Academic System
University of South Carolina Columbia,2949,23696,69.58290946083419,148,1.1399294337063413,USA,Academic
University of Western Australia,2939,44427,81.89860496767608,149,1.6724792446410344,AUSTRALIA,Academic
University of Glasgow,2937,33131,73.68062648961525,150,1.531920326864147,SCOTLAND,Academic
Universidade Federal de Minas Gerais,2932,34434,73.15825375170532,151,1.256011255115962,BRAZIL,Academic
University of Southampton,2910,43432,77.38831615120276,152,1.9349650171821307,ENGLAND,Academic
University of Virginia,2898,38747,71.73913043478261,153,1.7313010006901313,USA,Academic
City University of New York (CUNY) System,2897,23747,71.31515360717984,154,1.1655118398343114,USA,Academic System
Aix-Marseille Universite,2866,31515,74.4940683879972,155,1.978296301465457,FRANCE,Academic
Universidade do Porto,2854,36321,75.15767344078486,156,1.5662149964961458,PORTUGAL,Academic
University of Texas Austin,2849,21899,68.55036855036855,157,1.16036669006669,USA,Academic
Flinders University South Australia,2848,33068,79.35393258426966,158,1.365218433988764,AUSTRALIA,Academic
University of California Berkeley,2846,37025,79.62052002810964,159,1.7847811665495434,USA,Academic
University of Birmingham,2836,36884,76.62200282087447,160,1.7056261283497884,ENGLAND,Academic
Free University of Berlin,2831,41385,76.79265277287178,161,2.123761638996821,GERMANY (FED REP GER),Academic
University of Connecticut,2830,24528,72.57950530035335,162,1.1404222614840989,USA,Academic
Virginia Commonwealth University,2828,23608,70.82743988684582,163,1.0962432107496465,USA,Academic
Kaiser Permanente,2816,28556,73.40198863636364,164,1.3926732244318183,USA,Health
University of Texas Health Science Center Houston,2798,29352,77.09077912794854,165,1.311943209435311,USA,Academic
University Health Network Toronto,2775,25285,75.42342342342342,166,1.283756036036036,CANADA,Health
University of Leeds,2744,28110,73.9067055393586,167,1.619112172011662,ENGLAND,Academic
University of Adelaide,2741,38534,81.35716891645384,168,1.5244283473184967,AUSTRALIA,Academic
Le Reseau International des Instituts Pasteur (RIIP),2739,35192,80.94194961664842,169,1.7619817816721433,FRANCE,Nonprofit
Institut de Recherche pour le Developpement (IRD),2735,30865,82.70566727605119,170,1.809322449725777,FRANCE,Government
University of Technology Sydney,2729,22161,78.05056797361671,171,1.2364679736167095,AUSTRALIA,Academic
Lund University,2713,34743,85.10873571691853,172,1.4314233689642464,SWEDEN,Academic
United States Department of Defense,2711,17259,65.25267428992991,173,0.8291520841018075,USA,Government
University of Zurich,2707,39413,81.23383819726635,174,1.6581431843369043,SWITZERLAND,Academic
University of Helsinki,2704,39324,79.8076923076923,175,1.7436129437869823,FINLAND,Academic
Rollins School Public Health,2703,37619,83.0928597854236,176,1.8916073991860896,USA,Academic
University of South Florida,2693,24190,71.59301893798738,177,1.3172621240252507,USA,Academic
University of Nebraska System,2688,20487,71.39136904761905,178,1.13811171875,USA,Academic System
University of Tennessee System,2671,21949,67.95207787345564,179,1.1030502807937101,USA,Academic System
Public Health England,2667,49959,79.30258717660293,180,2.504000712410949,ENGLAND,Government
Academic Medical Center Amsterdam,2659,33512,83.26438510718314,181,1.3462887175629936,NETHERLANDS,Health
University of Manitoba,2659,31663,76.04362542309138,181,1.4411298232418204,CANADA,Academic
Chinese Academy of Sciences,2658,33181,82.88186606471031,183,1.9137110985703538,CHINA MAINLAND,Research Institute
Queensland University of Technology (QUT),2657,38490,80.0150545728265,184,1.6204677832141514,AUSTRALIA,Academic
University of Arizona,2646,28034,71.73091458805744,185,1.3737239984882843,USA,Academic
Shahid Beheshti University Medical Sciences,2633,27886,72.84466388150399,186,1.2179389669578429,IRAN,Academic
University of Granada,2624,24300,78.84908536585365,187,1.2330743521341465,SPAIN,Academic
NIH National Cancer Institute (NCI),2623,38866,76.89668318719023,188,1.9512332443766682,USA,Government
Humboldt University of Berlin,2622,38248,75.70556826849733,189,2.126500839054157,GERMANY (FED REP GER),Academic
University of Missouri System,2621,24411,71.42312094620374,190,1.165241892407478,USA,Academic System
University of Miami,2612,21076,73.85145482388974,191,1.2898735068912712,USA,Academic
Sorbonne Universite,2610,26814,76.47509578544062,192,1.5511975095785442,FRANCE,Academic
Universidade Federal de Sao Paulo (UNIFESP),2602,18850,69.33128362797848,193,0.907275710991545,BRAZIL,Academic
Universite Paris Saclay,2599,23776,77.33743747595229,194,1.1668119661408234,FRANCE,Academic
Uppsala University,2591,36412,79.00424546507139,195,1.6938934002315709,SWEDEN,Academic
Boston Children's Hospital,2582,30342,76.72347017815648,196,1.7852565840433774,USA,Health
Pennsylvania State University - University Park,2574,20582,74.43667443667444,197,1.1259440170940171,USA,Academic
University of Nottingham,2554,29894,76.89898198903681,198,1.501401057165231,ENGLAND,Academic
Utrecht University Medical Center,2550,33325,83.05882352941177,199,1.6544877647058824,NETHERLANDS,Health
Tufts University,2544,34218,77.1619496855346,200,1.6361075864779875,USA,Academic
Peking University,2540,27921,77.20472440944881,201,1.824825039370079,CHINA MAINLAND,Academic
University of Hong Kong,2532,57011,80.96366508688784,202,3.6195139020537126,HONG KONG,Academic
David Geffen School of Medicine at UCLA,2518,33147,78.47498014297061,203,1.6149336378077839,USA,Academic
University of Geneva,2508,26135,78.34928229665071,204,1.5476218899521532,SWITZERLAND,Academic
Makerere University,2506,22078,74.98004788507582,205,1.1431760175578611,UGANDA,Academic
University of Sheffield,2505,32190,75.92814371257485,206,1.6577036726546905,ENGLAND,Academic
Sapienza University Rome,2486,37645,78.39903459372486,207,1.8679006838294447,ITALY,Academic
University of Chicago,2482,23537,70.9105560032232,208,1.2797569298952458,USA,Academic
Instituto de Salud Carlos III,2466,30827,82.60340632603406,209,1.6209594079480942,SPAIN,Research Institute
University of Kwazulu Natal,2457,34736,79.77207977207978,210,1.6025087098087099,SOUTH AFRICA,Academic
Chinese Center for Disease Control & Prevention,2450,46677,81.63265306122449,211,2.9763652653061223,CHINA MAINLAND,Research Institute
CIBERESP,2448,29161,85.70261437908496,212,1.4708763071895425,SPAIN,Research Institute
National Taiwan University,2447,28735,74.29505516959543,213,1.6148469963220269,TAIWAN,Academic
Research Triangle Institute,2446,20211,67.0073589533933,214,1.3801116925592805,USA,Nonprofit
Charite Medical University of Berlin,2421,36403,75.62990499793474,215,2.1822416356877326,GERMANY (FED REP GER),Academic
Yonsei University,2417,22985,79.31319817956144,216,1.1290463798096815,SOUTH KOREA,Academic
Arizona State University,2407,18986,70.66888242625676,217,1.3437990029081845,USA,Academic System
University of Munich,2407,38210,78.23016202742002,217,1.739206356460324,GERMANY (FED REP GER),Academic
Consejo Superior de Investigaciones Cientificas (CSIC),2406,30594,84.74646716541979,219,1.5027019118869493,SPAIN,Research Council
University of Georgia,2391,19396,75.15683814303638,220,1.072797365119197,USA,Academic
Medical University of South Carolina,2390,19782,71.33891213389121,221,1.1006893305439331,USA,Academic
Tel Aviv University,2386,29991,77.78709136630344,222,1.5571459765297568,ISRAEL,Academic
INRAE,2383,27617,85.90012589173311,223,1.4259810742761225,FRANCE,National Academy
Fudan University,2371,37004,81.14719527625475,224,2.137470265710671,CHINA MAINLAND,Academic
Universite de Montpellier,2363,22116,80.61785865425307,225,1.2265675835801948,FRANCE,Academic
University of Lausanne,2356,26358,80.43293718166383,226,1.489336544991511,SWITZERLAND,Academic
Autonomous University of Barcelona,2349,19737,78.67177522349937,227,1.0640645381013196,SPAIN,Academic
United States Department of Agriculture (USDA),2308,30604,88.08492201039861,228,1.5173727902946275,USA,Government
Helmholtz Association,2307,37733,81.40442132639792,229,1.819857650628522,GERMANY (FED REP GER),Nonprofit
Indiana University-Purdue University Indianapolis,2304,16634,71.22395833333334,230,0.9673581163194443,USA,Academic
